id,ident,type,name,latitude_deg,longitude_deg
26756,WAJW,medium_airport,Wamena Airport,-4.102509975,138.9570007
26757,WAKK,medium_airport,Mopah Airport,-8.520290375,140.4179993
26758,WALG,small_airport,Tanjung Harapan Airport,2.835833333,117.3736111
26759,WALK,small_airport,Barau(Kalimaru) Airport,2.155499935,117.4319992
26760,WALL,small_airport,Sultan Aji Muhamad Sulaiman Airport,-1.268270016,116.8939972
26761,WALQ,small_airport,Muara Badak Pujangan Airport,-0.306075007,117.4160004
26762,WALR,medium_airport,Juwata Airport,3.326667,117.569444
26763,WALS,medium_airport,Temindung Airport,-0.484530985,117.1569977
26764,WALT,small_airport,Tanjung Santan Airport,-0.092973001,117.4530029
26765,WALV,small_airport,Bunyu Airport,3.455719948,117.8669968
26766,WALX,small_airport,Mangkajang Airport,2.007509947,117.7490005
26767,WAMG,small_airport,Jalaluddin Airport,0.637118995,122.8499985
26768,WAMH,medium_airport,Naha Airport,3.683209896,125.5279999
26769,WAML,medium_airport,Mutiara Airport,-0.918542027,119.9100037
26770,WAMM,medium_airport,Sam Ratulangi Airport,1.54926002,124.9260025
26771,WAMP,medium_airport,Kasiguncu Airport,-1.416749954,120.6579971
26772,WAMR,medium_airport,Pitu Airport,2.04598999,128.3249969
26773,WAMT,medium_airport,Sultan Khairun Babullah Airport,0.831413984,127.3809967
26774,WAMW,medium_airport,Bubung Airport,-1.038920045,122.7720032
26775,WAOC,small_airport,Batu Licin Airport,-3.412410021,115.9950027
26776,WAOH,small_airport,Mekar Putih Airport,-3.989909887,116.1019974
26777,WAOI,small_airport,Iskandar Airport,-2.705199957,111.6729965
26778,WAON,medium_airport,Warukin Airport,-2.216559887,115.435997
26779,WAOO,small_airport,Syamsudin Noor Airport,-3.442359924,114.7630005
26780,WAOP,small_airport,Tjilik Riwut Airport,-2.225130081,113.9430008
26781,WAOS,small_airport,Sampit(Hasan) Airport,-2.499190092,112.9749985
26782,WAPK,small_airport,Nangasuri Airport,-6.06619978,134.2740021
26783,WAPL,medium_airport,Dumatumbun Airport,-5.66162014,132.7310028
26784,WAPP,medium_airport,Pattimura Airport Ambon,-3.710259914,128.0890045
26785,WARA,small_airport,Abdul Rachman Saleh Airport,-7.926559925,112.7149963
26786,WARI,small_airport,Iswahyudi Airport,-7.615769863,111.4339981
26787,WARJ,small_airport,Adi Sutjipto International Airport,-7.788179874,110.4319992
26788,WARQ,small_airport,Adi Sumarmo Wiryokusumo Airport,-7.516089916,110.7570038
26789,WARR,large_airport,Juanda International Airport,-7.379829884,112.7870026
26790,WARS,small_airport,Achmad Yani Airport,-6.97273,110.375
26791,WASF,medium_airport,Fakfak Airport,-2.920190096,132.2669983
26792,WASK,medium_airport,Kaimana Airport,-3.644520044,133.6959991
26793,WASO,medium_airport,Babo Airport,-2.532239914,133.4389954
26794,WASR,medium_airport,Rendani Airport,-0.891833007,134.048996
26796,WATC,small_airport,Maumere(Wai Oti) Airport,-8.640649796,122.2369995
26797,WATE,small_airport,Ende (H Hasan Aroeboesman) Airport,-8.849289894,121.6610031
26798,WATG,small_airport,Frans Sales Lega Airport,-8.597009659,120.4769974
26799,WATM,small_airport,Mali Airport,-8.132340431,124.5970001
26800,WATO,small_airport,Komodo (Mutiara II) Airport,-8.486660004,119.8889999
26801,WATT,small_airport,El Tari Airport,-10.17160034,123.6709976
26802,WAWB,small_airport,Betoambari Airport,-5.486879826,122.5690002
26803,WAWM,small_airport,Andi Jemma Airport,-2.558039904,120.3239975
26804,WAWS,small_airport,Soroako Airport,-2.531199932,121.3580017
26805,WAWT,small_airport,Pongtiku Airport,-3.044739962,119.8219986
26806,WAWW,small_airport,Wolter Monginsidi Airport,-4.081610203,122.4179993
26807,WBGB,medium_airport,Bintulu Airport,3.123850107,113.0199966
26808,WBGG,medium_airport,Kuching International Airport,1.484699965,110.3470001
26809,WBGJ,medium_airport,Limbang Airport,4.808300018,115.0100021
26810,WBGM,medium_airport,Marudi Airport,4.178979874,114.3290024
26811,WBGR,medium_airport,Miri Airport,4.32201004,113.9869995
26812,WBGS,medium_airport,Sibu Airport,2.261600018,111.9850006
26813,WBKD,medium_airport,Lahad Datu Airport,5.032249928,118.3239975
26814,WBKK,medium_airport,Kota Kinabalu International Airport,5.937210083,116.0510025
26815,WBKL,medium_airport,Labuan Airport,5.300680161,115.25
26816,WBKS,medium_airport,Sandakan Airport,5.900899887,118.0589981
26817,WBKW,medium_airport,Tawau Airport,4.320159912,118.1279984
26818,WBMU,medium_airport,Mulu Airport,4.04832983,114.8050003
26819,WBSB,large_airport,Brunei International Airport,4.944200039,114.9280014
26820,WBGT,small_airport,Tanjung Manis Airport,2.177839994,111.2020035
26821,WIBB,medium_airport,Sultan Syarif Kasim Ii (Simpang Tiga) Airport,0.460786015,101.4449997
26822,WIBD,medium_airport,Pinang Kampai Airport,1.60919,101.433998
26823,WICB,small_airport,Budiarto Airport,-6.293169975,106.5699997
26824,WICC,medium_airport,Husein Sastranegara International Airport,-6.900629997,107.5759964
26825,WICD,small_airport,Penggung Airport,-6.756140232,108.5400009
26826,WICM,small_airport,Cibeureum Airport,-7.346600056,108.2460022
26827,WIAT,medium_airport,Radin Inten II (Branti) Airport,-5.240556,105.175556
26828,WIDD,medium_airport,Hang Nadim International Airport,1.121029973,104.1190033
26829,WIDE,small_airport,Pasir Pangaraan Airport,0.84543103,100.3700027
26830,WIDN,small_airport,Raja Haji Fisabilillah International Airport,0.922683001,104.5319977
26831,WIDS,small_airport,Dabo Airport,-0.479189008,104.5790024
26832,WIHH,medium_airport,Halim Perdanakusuma International Airport,-6.266610146,106.8909988
26833,WIHL,medium_airport,Tunggul Wulung Airport,-7.645060062,109.0339966
26834,WIHP,small_airport,Pondok Cabe Air Base,-6.336959839,106.7649994
26835,WIII,large_airport,Soekarno-Hatta International Airport,-6.12556982,106.6559982
26836,WIMB,medium_airport,Binaka Airport,1.166380048,97.70469666
26837,WIME,medium_airport,Aek Godang Airport,1.4001,99.430496
26838,WIMG,medium_airport,Tabing Airport,-0.874988973,100.3519974
26839,WIMK,medium_airport,Soewondo Air Force Base,3.559167,98.671111
26840,WIMN,small_airport,Silangit Airport,2.25973,98.991898
26841,WIMS,small_airport,Dr Ferdinand Lumban Tobing Airport,1.555940032,98.88890076
26842,WIOD,small_airport,Buluh Tumbang (H A S Hanandjoeddin) Airport,-2.74571991,107.7549973
26843,WIOG,medium_airport,Nanga Pinoh Airport,-0.348868996,111.7480011
26844,WIOK,medium_airport,Ketapang(Rahadi Usman) Airport,-1.816640019,109.9629974
26845,WIOM,small_airport,Tarempa Airport,3.348119974,106.2580032
